attributs,is_mistake_YMD,is_mistake_MDY,is_mistake_DMY
Store,True,False,False
DayOfWeek,True,False,False
Date,False,False,False
Sales,False,False,False
Customers,True,False,False
Open,True,False,False
Promo,True,False,False
StateHoliday,False,False,False
SchoolHoliday,True,False,False
StoreType,False,False,False
Assortment,False,False,False
CompetitionDistance,False,False,False
CompetitionOpenSinceMonth,False,False,False
CompetitionOpenSinceYear,False,False,False
Promo2,True,False,False
Promo2SinceWeek,False,False,False
Promo2SinceYear,False,False,False
PromoInterval,False,False,False
State,False,False,False
Latitude,False,False,False
Longitude,False,False,False
