attributs,Datatype,is_numeric,is_relativeNumber,is_date,DateFormat,is_categoricalColumn,currencyUnit,coordinatesCandidat,chartAxis
Store,int64,True,False,False,None,False,None,None,group
DayOfWeek,int64,True,False,False,None,False,None,Y,group
Date,datetime64[ns],True,False,True,YMD,True,None,None,dimension
Sales,int64,True,False,False,None,False,€,Y,group
Customers,int64,True,False,False,None,False,None,Y,group
Open,int64,True,False,False,None,False,None,Y,group
Promo,int64,True,False,False,None,False,None,Y,group
StateHoliday,category,False,False,False,None,True,None,None,dimension
SchoolHoliday,int64,True,False,False,None,False,None,Y,group
StoreType,category,False,False,False,None,True,None,None,dimension
Assortment,category,False,False,False,None,True,None,None,dimension
CompetitionDistance,float64,False,False,False,None,False,None,None,group
CompetitionOpenSinceMonth,float64,False,False,False,None,False,None,None,group
CompetitionOpenSinceYear,float64,False,False,False,None,False,None,None,group
Promo2,int64,True,False,False,None,False,None,Y,group
Promo2SinceWeek,float64,False,False,False,None,False,None,None,group
Promo2SinceYear,float64,False,False,False,None,False,None,None,group
PromoInterval,category,False,False,False,None,True,None,None,dimension
State,category,False,False,False,None,True,None,None,dimension
Latitude,category,False,False,False,None,True,None,Y,dimension
Longitude,category,False,False,False,None,True,None,X,dimension
