,Store,Store,DayOfWeek,DayOfWeek,Sales,Sales,Customers,Customers,Open,Open,Promo,Promo,SchoolHoliday,SchoolHoliday,CompetitionDistance,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,CompetitionOpenSinceYear,Promo2,Promo2,Promo2SinceWeek,Promo2SinceWeek,Promo2SinceYear,Promo2SinceYear,Store,Store,DayOfWeek,DayOfWeek,Sales,Sales,Customers,Customers,Open,Open,Promo,Promo,SchoolHoliday,SchoolHoliday,CompetitionDistance,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,CompetitionOpenSinceYear,Promo2,Promo2,Promo2SinceWeek,Promo2SinceWeek,Promo2SinceYear,Promo2SinceYear
,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum,average,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser,sum_Ausreiser,average_Ausreiser
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,45044012,500.4945832731475,362998,4.033355926176958,495064203,5500.774486383182,55042058,611.585217613529,74872,0.8319203546706074,35000,0.38889320992455473,12100,0.1344459382882032,496312170.0,,448549.0,,123647908.0,,45360,0.504005600062223,1067490.0,,91252890.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013-06-30,45545500,500.5,364000,4.0,492611363,5413.311681318682,55531607,610.2374395604396,73606,0.8088571428571428,35000,0.38461538461538464,9548,0.10492307692307692,501826780.0,,453544.0,,125023808.0,,45864,0.504,1079351.0,,92266811.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-30,46046000,500.5,365000,3.967391304347826,523899225,5694.556793478261,58546712,636.3773043478261,79060,0.8593478260869565,35000,0.3804347826086957,31370,0.34097826086956523,507341360.0,,458528.0,,126397696.0,,46368,0.504,1091212.0,,93280732.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-31,46046000,500.5,366000,3.9782608695652173,551223235,5991.556902173913,59682628,648.7242173913044,75603,0.8217717391304348,30000,0.32608695652173914,15930,0.17315217391304347,507341360.0,,458528.0,,126397696.0,,46368,0.504,1091212.0,,93280732.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-31,45045000,500.5,362000,4.022222222222222,501083137,5567.590411111111,55705258,618.9473111111112,75779,0.8419888888888889,31000,0.34444444444444444,7128,0.0792,496312200.0,,448560.0,,123649920.0,,45360,0.504,1067490.0,,91252890.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-30,45545500,500.5,364000,4.0,518899686,5702.194351648352,56705044,623.1323516483517,72775,0.7997252747252748,35000,0.38461538461538464,13095,0.1439010989010989,501826780.0,,453544.0,,125023808.0,,45864,0.504,1079351.0,,92266811.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-30,38779196,502.99880668257754,306708,3.9782608695652173,449220360,5826.766109785203,50438754,654.2330860226211,66268,0.8595517277160942,30168,0.391304347826087,27347,0.3547136038186158,436577720.0,,383180.0,,105894024.0,,33488,0.4343675417661098,710792.0,,67366908.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-12-31,38779196,502.99880668257754,307546,3.989130434782609,482604256,6259.783335062779,51995175,674.4211761959116,63433,0.8227793919269483,31844,0.41304347826086957,14880,0.19300612223721075,436577720.0,,383180.0,,105894024.0,,33488,0.4343675417661098,710792.0,,67366908.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015-03-31,45045000,500.5,361000,4.011111111111111,521830245,5798.113833333334,55766554,619.6283777777778,75869,0.8429888888888889,37000,0.4111111111111111,8398,0.09331111111111111,496312200.0,,448560.0,,123649920.0,,45360,0.504,1067490.0,,91252890.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,45545500,500.5,364000,4.0,532599491,5852.74165934066,56250090,618.1328571428571,72838,0.8004175824175824,35000,0.38461538461538464,11805,0.12972527472527473,501826780.0,,453544.0,,125023808.0,,45864,0.504,1079351.0,,92266811.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,15515500,500.5,124000,4.0,190199103,6135.454935483871,19896729,641.8299677419354,27067,0.8731290322580645,13000,0.41935483870967744,11373,0.3668709677419355,170951980.0,,154504.0,,42590528.0,,15624,0.504,367691.0,,31431551.0,,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
