Zeitraum;Iso-Code;Bundesland;Anzahl insgesamt;Anzahl alternativer Antrieb insgesamt;Anteil alternativer Antrieb;Anzahl Elektro-Antriebe;Anteil Elektro-Antriebe;Anzahl Elektro (BEV);Anzahl Brennstoffzelle;Anzahl Plug-in-Hbyrid;Anzahl Hybrid (ohne Plug-in-Hybrid);Anzahl Benzin-Hybrid;Anzahl Diesel-Hybrid;Anzahl Gas gesamt;Anzahl Wasserstoff;Bev?lkerung Datenstand 1.1., Anzahl;Bev?lkerung Datenstand 1.1., Promilleanteil;Bev?lkerungsprognose Jahresdurchschnitt, Anzahl;Bev?lkerung Prognose Jahresdurchschnitt, Promilleanteil;Kaufkraft in Mio. Euro;Kaufkraft, Promilleanteil;Kaufkraft, Euro Pro Kopf;Kaufkraft, Kaufkraftindex (D=100);Haushalte Datenstand 1.1., Anzahl;Haushalte Datenstand 1.1., durchschn. Haushaltsgr?†e;Haushalte Prognose Jahresdurchschnitt, Anzahl;Haushalte Prognose Jahresdurchschnitt, durchschn. Haushaltsgr?†e;Haushalte Prognose Jahresdurchschnitt, Singlehaushalte;Haushalte Prognose Jahresdurchschnitt, Mehrpersonenhaushalte mit Kindern;Haushalte Prognose Jahresdurchschnitt, Mehrpersonenhaushalte ohne Kinder;durchschn. verfÅgbares EK je Haushalt
4.2021;DE;Baden-WÅrttemberg;34434;14204;41.2499274;9011;63.43987609;4340;4;4667;5079;3023;2056;114;0;11069533;133.337;11143926;133.806;279460.07;144.357;25077;107.9;5302941;2.09;5330175;2.09;2045961;1672062;1612152;52430
4.2021;DE;Bayern;49043;19156;39.05960076;10230;53.40363333;4664;1;5565;8822;4469;4353;104;0;13076721;157.514;13152528;157.924;332814.83;171.917;25304;108.9;6457136;2.03;6485636;2.03;2611987;1967340;1906309;51316
4.2021;DE;Berlin;5366;2389;44.52105852;1309;54.79280033;532;1;776;1052;796;256;28;0;3644826;43.903;3695315;44.37;78561.25;40.581;21260;91.5;2052971;1.78;2071554;1.78;1093494;465674;512386;37924
4.2021;DE;Brandenburg;4730;1674;35.39112051;908;54.24133811;489;1;418;740;589;151;26;0;2511917;30.257;2518028;30.234;53506.3;27.639;21249;91.4;1276111;1.97;1275438;1.97;483917;348153;443368;41951
4.2021;DE;Bremen;1381;561;40.62273715;309;55.0802139;123;0;186;249;139;110;3;0;682986;8.227;684373;8.217;14461.3;7.47;21131;90.9;370972;1.84;369891;1.85;182273;85794;101824;39096
4.2021;DE;Hamburg;5682;2317;40.77789511;1125;48.55416487;506;3;616;1184;673;511;8;0;1841179;22.178;1861155;22.347;47575.64;24.575;25562;110;1009017;1.82;1015298;1.83;509543;237238;268517;46859
4.2021;DE;Hessen;23474;8164;34.77890432;4495;55.05879471;1916;3;2576;3499;2001;1498;170;0;6265809;75.474;6298839;75.631;153179.45;79.126;24319;104.6;3095038;2.02;3108628;2.03;1241912;927066;939650;49276
4.2021;DE;Mecklenburg-Vorpommern;2741;787;28.71214885;393;49.9364676;206;0;187;385;287;98;9;0;1609675;19.389;1607696;19.304;31873.24;16.464;19825;85.3;842213;1.91;839043;1.92;342529;208774;287740;37988
4.2021;DE;Niedersachsen;22807;7548;33.09510238;4774;63.24854266;2631;6;2137;2208;1489;719;566;0;7982448;96.152;8004010;96.105;180833.71;93.411;22593;97.2;4003126;1.99;4009107;2;1621469;1141449;1246189;45106
4.2021;DE;Nordrhein-Westfalen;46074;19586;42.50987542;11085;56.59654856;4925;8;6152;8270;5678;2592;231;0;17932651;216.006;17935169;215.35;411802.12;212.719;22961;98.8;8878867;2.02;8860848;2.02;3561467;2542668;2756713;46474
