Store;DayOfWeek;Date;Sales;Customers;Open;Promo;StateHoliday;SchoolHoliday;StoreType;Assortment;CompetitionDistance;CompetitionOpenSinceMonth;CompetitionOpenSinceYear;Promo2;Promo2SinceWeek;Promo2SinceYear;PromoInterval;State;Latitude;Longitude
1;5;31.07.2015;5,263 €;555;1;1;0;1;c;a;1270;9;2008;0;;;;Sachsen-Anhalt;52,73;11,67
2;5;31.07.2015;6,064 €;625;1;1;0;1;a;a;570;11;2007;1;13;2010;Jan,Apr,Jul,Oct;Bayern;48,47;12,05
3;5;31.07.2015;8,314 €;821;1;1;0;1;a;a;14130;12;2006;1;14;2011;Jan,Apr,Jul,Oct;Mecklenburg-Vorpommern;53,93;11,63
4;5;31.07.2015;13,995 €;1498;1;1;0;1;c;c;620;9;2009;0;;;;Hessen;50,63;9,45
5;5;31.07.2015;4,822 €;559;1;1;0;1;a;a;29910;4;2015;0;;;;Brandenburg;52,96;11,82
6;5;31.07.2015;5,651 €;589;1;1;0;1;a;a;310;12;2013;0;;;;Mecklenburg-Vorpommern;53,63;11,52
7;5;31.07.2015;15,344 €;1414;1;1;0;1;a;c;24000;4;2013;0;;;;Bayern;48,82;12,26
8;5;31.07.2015;8,492 €;833;1;1;0;1;a;a;7520;10;2014;0;;;;Nordrhein-Westfalen;51,4;7,12
9;5;31.07.2015;8,565 €;687;1;1;0;1;a;c;2030;8;2000;0;;;;Nordrhein-Westfalen;52,07;6,92
10;5;31.07.2015;7,185 €;681;1;1;0;1;a;a;3160;9;2009;0;;;;Niedersachsen;53,48;7,2
11;5;31.07.2015;10,457 €;1236;1;1;0;1;a;c;960;11;2011;1;1;2012;Jan,Apr,Jul,Oct;Rheinland-Pfalz;50,06;7,09
12;5;31.07.2015;8,959 €;962;1;1;0;1;a;c;1070;;;1;13;2010;Jan,Apr,Jul,Oct;Hessen;49,73;9,02
13;5;31.07.2015;8,821 €;568;1;1;0;0;d;a;310;;;1;45;2009;Feb,May,Aug,Nov;Mecklenburg-Vorpommern;53,63;11,94
14;5;31.07.2015;6,544 €;710;1;1;0;1;a;a;1300;3;2014;1;40;2011;Jan,Apr,Jul,Oct;Bayern;48,68;13,2
15;5;31.07.2015;9,191 €;766;1;1;0;1;d;c;4110;3;2010;1;14;2011;Jan,Apr,Jul,Oct;Niedersachsen;51,61;9,68
16;5;31.07.2015;10,231 €;979;1;1;0;1;a;c;3270;;;0;;;;Niedersachsen;52,82;10,2
17;5;31.07.2015;8,430 €;946;1;1;0;1;a;a;50;12;2005;1;26;2010;Jan,Apr,Jul,Oct;Sachsen-Anhalt;51,59;11,86
18;5;31.07.2015;10,071 €;936;1;1;0;1;d;c;13840;6;2010;1;14;2012;Jan,Apr,Jul,Oct;Hessen;51,19;9,95
19;5;31.07.2015;8,234 €;718;1;1;0;1;a;c;3240;;;1;22;2011;Mar,Jun,Sept,Dec;Bayern;49,49;10,67
20;5;31.07.2015;9,593 €;974;1;1;0;0;d;a;2340;5;2009;1;40;2014;Jan,Apr,Jul,Oct;Brandenburg;52,77;12,37
